2023-08-18 10:28:45.857 [restartedMain] ERROR [,] o.s.b.diagnostics.LoggingFailureAnalysisReporter - 

***************************
APPLICATION FAILED TO START
***************************

Description:

Field userService in com.benewake.saleordersystem.controller.intercepter.LoginTicketInterceptor required a bean of type 'com.benewake.saleordersystem.service.UserService' that could not be found.

The injection point has the following annotations:
	- @org.springframework.beans.factory.annotation.Autowired(required=true)


Action:

Consider defining a bean of type 'com.benewake.saleordersystem.service.UserService' in your configuration.

2023-08-18 15:50:32.536 [http-nio-8080-exec-4] ERROR [,] c.b.s.controller.advice.ExceptionAdvice - org.springframework.web.method.support.InvocableHandlerMethod.doInvoke(InvocableHandlerMethod.java:190)
2023-08-18 15:50:32.536 [http-nio-8080-exec-4] ERROR [,] c.b.s.controller.advice.ExceptionAdvice - org.springframework.web.method.support.InvocableHandlerMethod.invokeForRequest(InvocableHandlerMethod.java:138)
2023-08-18 15:50:32.536 [http-nio-8080-exec-4] ERROR [,] c.b.s.controller.advice.ExceptionAdvice - org.springframework.web.servlet.mvc.method.annotation.ServletInvocableHandlerMethod.invokeAndHandle(ServletInvocableHandlerMethod.java:105)
2023-08-18 15:50:32.536 [http-nio-8080-exec-4] ERROR [,] c.b.s.controller.advice.ExceptionAdvice - org.springframework.web.servlet.mvc.method.annotation.RequestMappingHandlerAdapter.invokeHandlerMethod(RequestMappingHandlerAdapter.java:878)
2023-08-18 15:50:32.536 [http-nio-8080-exec-4] ERROR [,] c.b.s.controller.advice.ExceptionAdvice - org.springframework.web.servlet.mvc.method.annotation.RequestMappingHandlerAdapter.handleInternal(RequestMappingHandlerAdapter.java:792)
2023-08-18 15:50:32.536 [http-nio-8080-exec-4] ERROR [,] c.b.s.controller.advice.ExceptionAdvice - org.springframework.web.servlet.mvc.method.AbstractHandlerMethodAdapter.handle(AbstractHandlerMethodAdapter.java:87)
2023-08-18 15:50:32.536 [http-nio-8080-exec-4] ERROR [,] c.b.s.controller.advice.ExceptionAdvice - org.springframework.web.servlet.DispatcherServlet.doDispatch(DispatcherServlet.java:1040)
2023-08-18 15:50:32.536 [http-nio-8080-exec-4] ERROR [,] c.b.s.controller.advice.ExceptionAdvice - org.springframework.web.servlet.DispatcherServlet.doService(DispatcherServlet.java:943)
2023-08-18 15:50:32.536 [http-nio-8080-exec-4] ERROR [,] c.b.s.controller.advice.ExceptionAdvice - org.springframework.web.servlet.FrameworkServlet.processRequest(FrameworkServlet.java:1006)
2023-08-18 15:50:32.536 [http-nio-8080-exec-4] ERROR [,] c.b.s.controller.advice.ExceptionAdvice - org.springframework.web.servlet.FrameworkServlet.doPost(FrameworkServlet.java:909)
2023-08-18 15:50:32.536 [http-nio-8080-exec-4] ERROR [,] c.b.s.controller.advice.ExceptionAdvice - javax.servlet.http.HttpServlet.service(HttpServlet.java:652)
2023-08-18 15:50:32.536 [http-nio-8080-exec-4] ERROR [,] c.b.s.controller.advice.ExceptionAdvice - org.springframework.web.servlet.FrameworkServlet.service(FrameworkServlet.java:883)
2023-08-18 15:50:32.536 [http-nio-8080-exec-4] ERROR [,] c.b.s.controller.advice.ExceptionAdvice - javax.servlet.http.HttpServlet.service(HttpServlet.java:733)
2023-08-18 15:50:32.536 [http-nio-8080-exec-4] ERROR [,] c.b.s.controller.advice.ExceptionAdvice - org.apache.catalina.core.ApplicationFilterChain.internalDoFilter(ApplicationFilterChain.java:231)
2023-08-18 15:50:32.536 [http-nio-8080-exec-4] ERROR [,] c.b.s.controller.advice.ExceptionAdvice - org.apache.catalina.core.ApplicationFilterChain.doFilter(ApplicationFilterChain.java:166)
2023-08-18 15:50:32.536 [http-nio-8080-exec-4] ERROR [,] c.b.s.controller.advice.ExceptionAdvice - org.apache.tomcat.websocket.server.WsFilter.doFilter(WsFilter.java:53)
2023-08-18 15:50:32.536 [http-nio-8080-exec-4] ERROR [,] c.b.s.controller.advice.ExceptionAdvice - org.apache.catalina.core.ApplicationFilterChain.internalDoFilter(ApplicationFilterChain.java:193)
2023-08-18 15:50:32.537 [http-nio-8080-exec-4] ERROR [,] c.b.s.controller.advice.ExceptionAdvice - org.apache.catalina.core.ApplicationFilterChain.doFilter(ApplicationFilterChain.java:166)
2023-08-18 15:50:32.537 [http-nio-8080-exec-4] ERROR [,] c.b.s.controller.advice.ExceptionAdvice - org.springframework.web.filter.RequestContextFilter.doFilterInternal(RequestContextFilter.java:100)
2023-08-18 15:50:32.537 [http-nio-8080-exec-4] ERROR [,] c.b.s.controller.advice.ExceptionAdvice - org.springframework.web.filter.OncePerRequestFilter.doFilter(OncePerRequestFilter.java:119)
2023-08-18 15:50:32.537 [http-nio-8080-exec-4] ERROR [,] c.b.s.controller.advice.ExceptionAdvice - org.apache.catalina.core.ApplicationFilterChain.internalDoFilter(ApplicationFilterChain.java:193)
2023-08-18 15:50:32.537 [http-nio-8080-exec-4] ERROR [,] c.b.s.controller.advice.ExceptionAdvice - org.apache.catalina.core.ApplicationFilterChain.doFilter(ApplicationFilterChain.java:166)
2023-08-18 15:50:32.537 [http-nio-8080-exec-4] ERROR [,] c.b.s.controller.advice.ExceptionAdvice - org.springframework.web.filter.FormContentFilter.doFilterInternal(FormContentFilter.java:93)
2023-08-18 15:50:32.537 [http-nio-8080-exec-4] ERROR [,] c.b.s.controller.advice.ExceptionAdvice - org.springframework.web.filter.OncePerRequestFilter.doFilter(OncePerRequestFilter.java:119)
2023-08-18 15:50:32.537 [http-nio-8080-exec-4] ERROR [,] c.b.s.controller.advice.ExceptionAdvice - org.apache.catalina.core.ApplicationFilterChain.internalDoFilter(ApplicationFilterChain.java:193)
2023-08-18 15:50:32.537 [http-nio-8080-exec-4] ERROR [,] c.b.s.controller.advice.ExceptionAdvice - org.apache.catalina.core.ApplicationFilterChain.doFilter(ApplicationFilterChain.java:166)
2023-08-18 15:50:32.537 [http-nio-8080-exec-4] ERROR [,] c.b.s.controller.advice.ExceptionAdvice - org.springframework.web.filter.CharacterEncodingFilter.doFilterInternal(CharacterEncodingFilter.java:201)
2023-08-18 15:50:32.537 [http-nio-8080-exec-4] ERROR [,] c.b.s.controller.advice.ExceptionAdvice - org.springframework.web.filter.OncePerRequestFilter.doFilter(OncePerRequestFilter.java:119)
2023-08-18 15:50:32.537 [http-nio-8080-exec-4] ERROR [,] c.b.s.controller.advice.ExceptionAdvice - org.apache.catalina.core.ApplicationFilterChain.internalDoFilter(ApplicationFilterChain.java:193)
2023-08-18 15:50:32.537 [http-nio-8080-exec-4] ERROR [,] c.b.s.controller.advice.ExceptionAdvice - org.apache.catalina.core.ApplicationFilterChain.doFilter(ApplicationFilterChain.java:166)
2023-08-18 15:50:32.537 [http-nio-8080-exec-4] ERROR [,] c.b.s.controller.advice.ExceptionAdvice - org.apache.catalina.core.StandardWrapperValve.invoke(StandardWrapperValve.java:202)
2023-08-18 15:50:32.537 [http-nio-8080-exec-4] ERROR [,] c.b.s.controller.advice.ExceptionAdvice - org.apache.catalina.core.StandardContextValve.invoke(StandardContextValve.java:97)
2023-08-18 15:50:32.537 [http-nio-8080-exec-4] ERROR [,] c.b.s.controller.advice.ExceptionAdvice - org.apache.catalina.authenticator.AuthenticatorBase.invoke(AuthenticatorBase.java:542)
2023-08-18 15:50:32.537 [http-nio-8080-exec-4] ERROR [,] c.b.s.controller.advice.ExceptionAdvice - org.apache.catalina.core.StandardHostValve.invoke(StandardHostValve.java:143)
2023-08-18 15:50:32.537 [http-nio-8080-exec-4] ERROR [,] c.b.s.controller.advice.ExceptionAdvice - org.apache.catalina.valves.ErrorReportValve.invoke(ErrorReportValve.java:92)
2023-08-18 15:50:32.537 [http-nio-8080-exec-4] ERROR [,] c.b.s.controller.advice.ExceptionAdvice - org.apache.catalina.core.StandardEngineValve.invoke(StandardEngineValve.java:78)
2023-08-18 15:50:32.537 [http-nio-8080-exec-4] ERROR [,] c.b.s.controller.advice.ExceptionAdvice - org.apache.catalina.connector.CoyoteAdapter.service(CoyoteAdapter.java:343)
2023-08-18 15:50:32.537 [http-nio-8080-exec-4] ERROR [,] c.b.s.controller.advice.ExceptionAdvice - org.apache.coyote.http11.Http11Processor.service(Http11Processor.java:374)
2023-08-18 15:50:32.537 [http-nio-8080-exec-4] ERROR [,] c.b.s.controller.advice.ExceptionAdvice - org.apache.coyote.AbstractProcessorLight.process(AbstractProcessorLight.java:65)
2023-08-18 15:50:32.537 [http-nio-8080-exec-4] ERROR [,] c.b.s.controller.advice.ExceptionAdvice - org.apache.coyote.AbstractProtocol$ConnectionHandler.process(AbstractProtocol.java:888)
2023-08-18 15:50:32.537 [http-nio-8080-exec-4] ERROR [,] c.b.s.controller.advice.ExceptionAdvice - org.apache.tomcat.util.net.NioEndpoint$SocketProcessor.doRun(NioEndpoint.java:1597)
2023-08-18 15:50:32.537 [http-nio-8080-exec-4] ERROR [,] c.b.s.controller.advice.ExceptionAdvice - org.apache.tomcat.util.net.SocketProcessorBase.run(SocketProcessorBase.java:49)
2023-08-18 15:50:32.537 [http-nio-8080-exec-4] ERROR [,] c.b.s.controller.advice.ExceptionAdvice - java.util.concurrent.ThreadPoolExecutor.runWorker(ThreadPoolExecutor.java:1149)
2023-08-18 15:50:32.538 [http-nio-8080-exec-4] ERROR [,] c.b.s.controller.advice.ExceptionAdvice - java.util.concurrent.ThreadPoolExecutor$Worker.run(ThreadPoolExecutor.java:624)
2023-08-18 15:50:32.538 [http-nio-8080-exec-4] ERROR [,] c.b.s.controller.advice.ExceptionAdvice - org.apache.tomcat.util.threads.TaskThread$WrappingRunnable.run(TaskThread.java:61)
2023-08-18 15:50:32.538 [http-nio-8080-exec-4] ERROR [,] c.b.s.controller.advice.ExceptionAdvice - java.lang.Thread.run(Thread.java:750)
2023-08-18 16:01:46.302 [http-nio-8080-exec-4] ERROR [,] c.b.s.controller.advice.ExceptionAdvice - 服务器发生异常：JSON parse error: Cannot deserialize value of type `java.util.Date` from String "2023-03-20 00:00:00": expected format "yyyy/MM/dd"; nested exception is com.fasterxml.jackson.databind.exc.InvalidFormatException: Cannot deserialize value of type `java.util.Date` from String "2023-03-20 00:00:00": expected format "yyyy/MM/dd"
 at [Source: (PushbackInputStream); line: 8, column: 29] (through reference chain: com.benewake.saleordersystem.entity.VO.StartInquiryVo["inquiryList"]->java.util.ArrayList[0]->com.benewake.saleordersystem.entity.Inquiry["expectedTime"])
2023-08-18 16:01:46.303 [http-nio-8080-exec-4] ERROR [,] c.b.s.controller.advice.ExceptionAdvice - org.springframework.http.converter.json.AbstractJackson2HttpMessageConverter.readJavaType(AbstractJackson2HttpMessageConverter.java:285)
2023-08-18 16:01:46.304 [http-nio-8080-exec-4] ERROR [,] c.b.s.controller.advice.ExceptionAdvice - org.springframework.http.converter.json.AbstractJackson2HttpMessageConverter.read(AbstractJackson2HttpMessageConverter.java:243)
2023-08-18 16:01:46.304 [http-nio-8080-exec-4] ERROR [,] c.b.s.controller.advice.ExceptionAdvice - org.springframework.web.servlet.mvc.method.annotation.AbstractMessageConverterMethodArgumentResolver.readWithMessageConverters(AbstractMessageConverterMethodArgumentResolver.java:205)
2023-08-18 16:01:46.304 [http-nio-8080-exec-4] ERROR [,] c.b.s.controller.advice.ExceptionAdvice - org.springframework.web.servlet.mvc.method.annotation.RequestResponseBodyMethodProcessor.readWithMessageConverters(RequestResponseBodyMethodProcessor.java:158)
2023-08-18 16:01:46.304 [http-nio-8080-exec-4] ERROR [,] c.b.s.controller.advice.ExceptionAdvice - org.springframework.web.servlet.mvc.method.annotation.RequestResponseBodyMethodProcessor.resolveArgument(RequestResponseBodyMethodProcessor.java:131)
2023-08-18 16:01:46.304 [http-nio-8080-exec-4] ERROR [,] c.b.s.controller.advice.ExceptionAdvice - org.springframework.web.method.support.HandlerMethodArgumentResolverComposite.resolveArgument(HandlerMethodArgumentResolverComposite.java:121)
2023-08-18 16:01:46.304 [http-nio-8080-exec-4] ERROR [,] c.b.s.controller.advice.ExceptionAdvice - org.springframework.web.method.support.InvocableHandlerMethod.getMethodArgumentValues(InvocableHandlerMethod.java:167)
2023-08-18 16:01:46.304 [http-nio-8080-exec-4] ERROR [,] c.b.s.controller.advice.ExceptionAdvice - org.springframework.web.method.support.InvocableHandlerMethod.invokeForRequest(InvocableHandlerMethod.java:134)
2023-08-18 16:01:46.304 [http-nio-8080-exec-4] ERROR [,] c.b.s.controller.advice.ExceptionAdvice - org.springframework.web.servlet.mvc.method.annotation.ServletInvocableHandlerMethod.invokeAndHandle(ServletInvocableHandlerMethod.java:105)
2023-08-18 16:01:46.305 [http-nio-8080-exec-4] ERROR [,] c.b.s.controller.advice.ExceptionAdvice - org.springframework.web.servlet.mvc.method.annotation.RequestMappingHandlerAdapter.invokeHandlerMethod(RequestMappingHandlerAdapter.java:878)
2023-08-18 16:01:46.305 [http-nio-8080-exec-4] ERROR [,] c.b.s.controller.advice.ExceptionAdvice - org.springframework.web.servlet.mvc.method.annotation.RequestMappingHandlerAdapter.handleInternal(RequestMappingHandlerAdapter.java:792)
2023-08-18 16:01:46.305 [http-nio-8080-exec-4] ERROR [,] c.b.s.controller.advice.ExceptionAdvice - org.springframework.web.servlet.mvc.method.AbstractHandlerMethodAdapter.handle(AbstractHandlerMethodAdapter.java:87)
2023-08-18 16:01:46.305 [http-nio-8080-exec-4] ERROR [,] c.b.s.controller.advice.ExceptionAdvice - org.springframework.web.servlet.DispatcherServlet.doDispatch(DispatcherServlet.java:1040)
2023-08-18 16:01:46.305 [http-nio-8080-exec-4] ERROR [,] c.b.s.controller.advice.ExceptionAdvice - org.springframework.web.servlet.DispatcherServlet.doService(DispatcherServlet.java:943)
2023-08-18 16:01:46.305 [http-nio-8080-exec-4] ERROR [,] c.b.s.controller.advice.ExceptionAdvice - org.springframework.web.servlet.FrameworkServlet.processRequest(FrameworkServlet.java:1006)
2023-08-18 16:01:46.306 [http-nio-8080-exec-4] ERROR [,] c.b.s.controller.advice.ExceptionAdvice - org.springframework.web.servlet.FrameworkServlet.doPost(FrameworkServlet.java:909)
2023-08-18 16:01:46.306 [http-nio-8080-exec-4] ERROR [,] c.b.s.controller.advice.ExceptionAdvice - javax.servlet.http.HttpServlet.service(HttpServlet.java:652)
2023-08-18 16:01:46.306 [http-nio-8080-exec-4] ERROR [,] c.b.s.controller.advice.ExceptionAdvice - org.springframework.web.servlet.FrameworkServlet.service(FrameworkServlet.java:883)
2023-08-18 16:01:46.306 [http-nio-8080-exec-4] ERROR [,] c.b.s.controller.advice.ExceptionAdvice - javax.servlet.http.HttpServlet.service(HttpServlet.java:733)
2023-08-18 16:01:46.306 [http-nio-8080-exec-4] ERROR [,] c.b.s.controller.advice.ExceptionAdvice - org.apache.catalina.core.ApplicationFilterChain.internalDoFilter(ApplicationFilterChain.java:231)
2023-08-18 16:01:46.306 [http-nio-8080-exec-4] ERROR [,] c.b.s.controller.advice.ExceptionAdvice - org.apache.catalina.core.ApplicationFilterChain.doFilter(ApplicationFilterChain.java:166)
2023-08-18 16:01:46.306 [http-nio-8080-exec-4] ERROR [,] c.b.s.controller.advice.ExceptionAdvice - org.apache.tomcat.websocket.server.WsFilter.doFilter(WsFilter.java:53)
2023-08-18 16:01:46.306 [http-nio-8080-exec-4] ERROR [,] c.b.s.controller.advice.ExceptionAdvice - org.apache.catalina.core.ApplicationFilterChain.internalDoFilter(ApplicationFilterChain.java:193)
2023-08-18 16:01:46.307 [http-nio-8080-exec-4] ERROR [,] c.b.s.controller.advice.ExceptionAdvice - org.apache.catalina.core.ApplicationFilterChain.doFilter(ApplicationFilterChain.java:166)
2023-08-18 16:01:46.307 [http-nio-8080-exec-4] ERROR [,] c.b.s.controller.advice.ExceptionAdvice - org.springframework.web.filter.RequestContextFilter.doFilterInternal(RequestContextFilter.java:100)
2023-08-18 16:01:46.307 [http-nio-8080-exec-4] ERROR [,] c.b.s.controller.advice.ExceptionAdvice - org.springframework.web.filter.OncePerRequestFilter.doFilter(OncePerRequestFilter.java:119)
2023-08-18 16:01:46.307 [http-nio-8080-exec-4] ERROR [,] c.b.s.controller.advice.ExceptionAdvice - org.apache.catalina.core.ApplicationFilterChain.internalDoFilter(ApplicationFilterChain.java:193)
2023-08-18 16:01:46.307 [http-nio-8080-exec-4] ERROR [,] c.b.s.controller.advice.ExceptionAdvice - org.apache.catalina.core.ApplicationFilterChain.doFilter(ApplicationFilterChain.java:166)
2023-08-18 16:01:46.307 [http-nio-8080-exec-4] ERROR [,] c.b.s.controller.advice.ExceptionAdvice - org.springframework.web.filter.FormContentFilter.doFilterInternal(FormContentFilter.java:93)
2023-08-18 16:01:46.307 [http-nio-8080-exec-4] ERROR [,] c.b.s.controller.advice.ExceptionAdvice - org.springframework.web.filter.OncePerRequestFilter.doFilter(OncePerRequestFilter.java:119)
2023-08-18 16:01:46.307 [http-nio-8080-exec-4] ERROR [,] c.b.s.controller.advice.ExceptionAdvice - org.apache.catalina.core.ApplicationFilterChain.internalDoFilter(ApplicationFilterChain.java:193)
2023-08-18 16:01:46.308 [http-nio-8080-exec-4] ERROR [,] c.b.s.controller.advice.ExceptionAdvice - org.apache.catalina.core.ApplicationFilterChain.doFilter(ApplicationFilterChain.java:166)
2023-08-18 16:01:46.308 [http-nio-8080-exec-4] ERROR [,] c.b.s.controller.advice.ExceptionAdvice - org.springframework.web.filter.CharacterEncodingFilter.doFilterInternal(CharacterEncodingFilter.java:201)
2023-08-18 16:01:46.308 [http-nio-8080-exec-4] ERROR [,] c.b.s.controller.advice.ExceptionAdvice - org.springframework.web.filter.OncePerRequestFilter.doFilter(OncePerRequestFilter.java:119)
2023-08-18 16:01:46.308 [http-nio-8080-exec-4] ERROR [,] c.b.s.controller.advice.ExceptionAdvice - org.apache.catalina.core.ApplicationFilterChain.internalDoFilter(ApplicationFilterChain.java:193)
2023-08-18 16:01:46.308 [http-nio-8080-exec-4] ERROR [,] c.b.s.controller.advice.ExceptionAdvice - org.apache.catalina.core.ApplicationFilterChain.doFilter(ApplicationFilterChain.java:166)
2023-08-18 16:01:46.308 [http-nio-8080-exec-4] ERROR [,] c.b.s.controller.advice.ExceptionAdvice - org.apache.catalina.core.StandardWrapperValve.invoke(StandardWrapperValve.java:202)
2023-08-18 16:01:46.308 [http-nio-8080-exec-4] ERROR [,] c.b.s.controller.advice.ExceptionAdvice - org.apache.catalina.core.StandardContextValve.invoke(StandardContextValve.java:97)
2023-08-18 16:01:46.309 [http-nio-8080-exec-4] ERROR [,] c.b.s.controller.advice.ExceptionAdvice - org.apache.catalina.authenticator.AuthenticatorBase.invoke(AuthenticatorBase.java:542)
2023-08-18 16:01:46.309 [http-nio-8080-exec-4] ERROR [,] c.b.s.controller.advice.ExceptionAdvice - org.apache.catalina.core.StandardHostValve.invoke(StandardHostValve.java:143)
2023-08-18 16:01:46.309 [http-nio-8080-exec-4] ERROR [,] c.b.s.controller.advice.ExceptionAdvice - org.apache.catalina.valves.ErrorReportValve.invoke(ErrorReportValve.java:92)
2023-08-18 16:01:46.309 [http-nio-8080-exec-4] ERROR [,] c.b.s.controller.advice.ExceptionAdvice - org.apache.catalina.core.StandardEngineValve.invoke(StandardEngineValve.java:78)
2023-08-18 16:01:46.309 [http-nio-8080-exec-4] ERROR [,] c.b.s.controller.advice.ExceptionAdvice - org.apache.catalina.connector.CoyoteAdapter.service(CoyoteAdapter.java:343)
2023-08-18 16:01:46.309 [http-nio-8080-exec-4] ERROR [,] c.b.s.controller.advice.ExceptionAdvice - org.apache.coyote.http11.Http11Processor.service(Http11Processor.java:374)
2023-08-18 16:01:46.309 [http-nio-8080-exec-4] ERROR [,] c.b.s.controller.advice.ExceptionAdvice - org.apache.coyote.AbstractProcessorLight.process(AbstractProcessorLight.java:65)
2023-08-18 16:01:46.309 [http-nio-8080-exec-4] ERROR [,] c.b.s.controller.advice.ExceptionAdvice - org.apache.coyote.AbstractProtocol$ConnectionHandler.process(AbstractProtocol.java:888)
2023-08-18 16:01:46.309 [http-nio-8080-exec-4] ERROR [,] c.b.s.controller.advice.ExceptionAdvice - org.apache.tomcat.util.net.NioEndpoint$SocketProcessor.doRun(NioEndpoint.java:1597)
2023-08-18 16:01:46.309 [http-nio-8080-exec-4] ERROR [,] c.b.s.controller.advice.ExceptionAdvice - org.apache.tomcat.util.net.SocketProcessorBase.run(SocketProcessorBase.java:49)
2023-08-18 16:01:46.309 [http-nio-8080-exec-4] ERROR [,] c.b.s.controller.advice.ExceptionAdvice - java.util.concurrent.ThreadPoolExecutor.runWorker(ThreadPoolExecutor.java:1149)
2023-08-18 16:01:46.310 [http-nio-8080-exec-4] ERROR [,] c.b.s.controller.advice.ExceptionAdvice - java.util.concurrent.ThreadPoolExecutor$Worker.run(ThreadPoolExecutor.java:624)
2023-08-18 16:01:46.310 [http-nio-8080-exec-4] ERROR [,] c.b.s.controller.advice.ExceptionAdvice - org.apache.tomcat.util.threads.TaskThread$WrappingRunnable.run(TaskThread.java:61)
2023-08-18 16:01:46.310 [http-nio-8080-exec-4] ERROR [,] c.b.s.controller.advice.ExceptionAdvice - java.lang.Thread.run(Thread.java:750)
2023-08-18 16:02:34.680 [http-nio-8080-exec-5] ERROR [,] c.b.s.controller.advice.ExceptionAdvice - 服务器发生异常：JSON parse error: Cannot deserialize value of type `java.util.Date` from String "2023-03-20": expected format "yyyy/MM/dd"; nested exception is com.fasterxml.jackson.databind.exc.InvalidFormatException: Cannot deserialize value of type `java.util.Date` from String "2023-03-20": expected format "yyyy/MM/dd"
 at [Source: (PushbackInputStream); line: 8, column: 29] (through reference chain: com.benewake.saleordersystem.entity.VO.StartInquiryVo["inquiryList"]->java.util.ArrayList[0]->com.benewake.saleordersystem.entity.Inquiry["expectedTime"])
2023-08-18 16:02:34.680 [http-nio-8080-exec-5] ERROR [,] c.b.s.controller.advice.ExceptionAdvice - org.springframework.http.converter.json.AbstractJackson2HttpMessageConverter.readJavaType(AbstractJackson2HttpMessageConverter.java:285)
2023-08-18 16:02:34.680 [http-nio-8080-exec-5] ERROR [,] c.b.s.controller.advice.ExceptionAdvice - org.springframework.http.converter.json.AbstractJackson2HttpMessageConverter.read(AbstractJackson2HttpMessageConverter.java:243)
2023-08-18 16:02:34.680 [http-nio-8080-exec-5] ERROR [,] c.b.s.controller.advice.ExceptionAdvice - org.springframework.web.servlet.mvc.method.annotation.AbstractMessageConverterMethodArgumentResolver.readWithMessageConverters(AbstractMessageConverterMethodArgumentResolver.java:205)
2023-08-18 16:02:34.680 [http-nio-8080-exec-5] ERROR [,] c.b.s.controller.advice.ExceptionAdvice - org.springframework.web.servlet.mvc.method.annotation.RequestResponseBodyMethodProcessor.readWithMessageConverters(RequestResponseBodyMethodProcessor.java:158)
2023-08-18 16:02:34.680 [http-nio-8080-exec-5] ERROR [,] c.b.s.controller.advice.ExceptionAdvice - org.springframework.web.servlet.mvc.method.annotation.RequestResponseBodyMethodProcessor.resolveArgument(RequestResponseBodyMethodProcessor.java:131)
2023-08-18 16:02:34.680 [http-nio-8080-exec-5] ERROR [,] c.b.s.controller.advice.ExceptionAdvice - org.springframework.web.method.support.HandlerMethodArgumentResolverComposite.resolveArgument(HandlerMethodArgumentResolverComposite.java:121)
2023-08-18 16:02:34.680 [http-nio-8080-exec-5] ERROR [,] c.b.s.controller.advice.ExceptionAdvice - org.springframework.web.method.support.InvocableHandlerMethod.getMethodArgumentValues(InvocableHandlerMethod.java:167)
2023-08-18 16:02:34.680 [http-nio-8080-exec-5] ERROR [,] c.b.s.controller.advice.ExceptionAdvice - org.springframework.web.method.support.InvocableHandlerMethod.invokeForRequest(InvocableHandlerMethod.java:134)
2023-08-18 16:02:34.680 [http-nio-8080-exec-5] ERROR [,] c.b.s.controller.advice.ExceptionAdvice - org.springframework.web.servlet.mvc.method.annotation.ServletInvocableHandlerMethod.invokeAndHandle(ServletInvocableHandlerMethod.java:105)
2023-08-18 16:02:34.680 [http-nio-8080-exec-5] ERROR [,] c.b.s.controller.advice.ExceptionAdvice - org.springframework.web.servlet.mvc.method.annotation.RequestMappingHandlerAdapter.invokeHandlerMethod(RequestMappingHandlerAdapter.java:878)
2023-08-18 16:02:34.681 [http-nio-8080-exec-5] ERROR [,] c.b.s.controller.advice.ExceptionAdvice - org.springframework.web.servlet.mvc.method.annotation.RequestMappingHandlerAdapter.handleInternal(RequestMappingHandlerAdapter.java:792)
2023-08-18 16:02:34.681 [http-nio-8080-exec-5] ERROR [,] c.b.s.controller.advice.ExceptionAdvice - org.springframework.web.servlet.mvc.method.AbstractHandlerMethodAdapter.handle(AbstractHandlerMethodAdapter.java:87)
2023-08-18 16:02:34.681 [http-nio-8080-exec-5] ERROR [,] c.b.s.controller.advice.ExceptionAdvice - org.springframework.web.servlet.DispatcherServlet.doDispatch(DispatcherServlet.java:1040)
2023-08-18 16:02:34.681 [http-nio-8080-exec-5] ERROR [,] c.b.s.controller.advice.ExceptionAdvice - org.springframework.web.servlet.DispatcherServlet.doService(DispatcherServlet.java:943)
2023-08-18 16:02:34.681 [http-nio-8080-exec-5] ERROR [,] c.b.s.controller.advice.ExceptionAdvice - org.springframework.web.servlet.FrameworkServlet.processRequest(FrameworkServlet.java:1006)
2023-08-18 16:02:34.681 [http-nio-8080-exec-5] ERROR [,] c.b.s.controller.advice.ExceptionAdvice - org.springframework.web.servlet.FrameworkServlet.doPost(FrameworkServlet.java:909)
2023-08-18 16:02:34.681 [http-nio-8080-exec-5] ERROR [,] c.b.s.controller.advice.ExceptionAdvice - javax.servlet.http.HttpServlet.service(HttpServlet.java:652)
2023-08-18 16:02:34.681 [http-nio-8080-exec-5] ERROR [,] c.b.s.controller.advice.ExceptionAdvice - org.springframework.web.servlet.FrameworkServlet.service(FrameworkServlet.java:883)
2023-08-18 16:02:34.681 [http-nio-8080-exec-5] ERROR [,] c.b.s.controller.advice.ExceptionAdvice - javax.servlet.http.HttpServlet.service(HttpServlet.java:733)
2023-08-18 16:02:34.681 [http-nio-8080-exec-5] ERROR [,] c.b.s.controller.advice.ExceptionAdvice - org.apache.catalina.core.ApplicationFilterChain.internalDoFilter(ApplicationFilterChain.java:231)
2023-08-18 16:02:34.681 [http-nio-8080-exec-5] ERROR [,] c.b.s.controller.advice.ExceptionAdvice - org.apache.catalina.core.ApplicationFilterChain.doFilter(ApplicationFilterChain.java:166)
2023-08-18 16:02:34.681 [http-nio-8080-exec-5] ERROR [,] c.b.s.controller.advice.ExceptionAdvice - org.apache.tomcat.websocket.server.WsFilter.doFilter(WsFilter.java:53)
2023-08-18 16:02:34.681 [http-nio-8080-exec-5] ERROR [,] c.b.s.controller.advice.ExceptionAdvice - org.apache.catalina.core.ApplicationFilterChain.internalDoFilter(ApplicationFilterChain.java:193)
2023-08-18 16:02:34.681 [http-nio-8080-exec-5] ERROR [,] c.b.s.controller.advice.ExceptionAdvice - org.apache.catalina.core.ApplicationFilterChain.doFilter(ApplicationFilterChain.java:166)
2023-08-18 16:02:34.682 [http-nio-8080-exec-5] ERROR [,] c.b.s.controller.advice.ExceptionAdvice - org.springframework.web.filter.RequestContextFilter.doFilterInternal(RequestContextFilter.java:100)
2023-08-18 16:02:34.682 [http-nio-8080-exec-5] ERROR [,] c.b.s.controller.advice.ExceptionAdvice - org.springframework.web.filter.OncePerRequestFilter.doFilter(OncePerRequestFilter.java:119)
2023-08-18 16:02:34.682 [http-nio-8080-exec-5] ERROR [,] c.b.s.controller.advice.ExceptionAdvice - org.apache.catalina.core.ApplicationFilterChain.internalDoFilter(ApplicationFilterChain.java:193)
2023-08-18 16:02:34.682 [http-nio-8080-exec-5] ERROR [,] c.b.s.controller.advice.ExceptionAdvice - org.apache.catalina.core.ApplicationFilterChain.doFilter(ApplicationFilterChain.java:166)
